Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
LED18_L2   LM301B           -3149.606mil  -4330.709mil  -3149.606mil  -4330.709mil  -3149.606mil  -4300.197mil  T        360.00 2700K          
LED19_L1   LM301B           -2362.205mil   4330.709mil  -2362.205mil   4330.709mil  -2362.205mil   4361.221mil  T        360.00 2700K          
LED19_L2   LM301B           -2362.205mil   -393.701mil  -2362.205mil   -393.701mil  -2362.205mil   -363.189mil  T        360.00 2700K          
LED20_L1   LM301B           -2362.205mil   3543.307mil  -2362.205mil   3543.307mil  -2362.205mil   3573.819mil  T        360.00 5000K          
LED20_L2   LM301B           -2362.205mil  -1181.102mil  -2362.205mil  -1181.102mil  -2362.205mil  -1150.591mil  T        360.00 5000K          
LED21_L1   LM301B           -2362.205mil   2755.906mil  -2362.205mil   2755.905mil  -2362.205mil   2786.417mil  T        360.00 2700K          
LED21_L2   LM301B           -2362.205mil  -1968.504mil  -2362.205mil  -1968.504mil  -2362.205mil  -1937.992mil  T        360.00 2700K          
LED22_L1   LM301B           -2362.205mil   1968.504mil  -2362.205mil   1968.504mil  -2362.205mil   1999.016mil  T        360.00 2700K          
LED22_L2   LM301B           -2362.205mil  -2755.905mil  -2362.205mil  -2755.905mil  -2362.205mil  -2725.394mil  T        360.00 2700K          
LED23_L1   LM301B           -2362.205mil   1181.102mil  -2362.205mil   1181.102mil  -2362.205mil   1211.614mil  T        360.00 5000K          
LED23_L2   LM301B           -2362.205mil  -3543.307mil  -2362.205mil  -3543.307mil  -2362.205mil  -3512.795mil  T        360.00 5000K          
LED24_L1   LM301B           -2362.205mil    393.701mil  -2362.205mil    393.701mil  -2362.205mil    424.213mil  T        360.00 2700K          
LED24_L2   LM301B           -2362.205mil  -4330.709mil  -2362.205mil  -4330.709mil  -2362.205mil  -4300.197mil  T        360.00 2700K          
LED25_L1   LM301B           -1574.803mil   4330.709mil  -1574.803mil   4330.709mil  -1574.803mil   4361.221mil  T        360.00 2700K          
LED25_L2   LM301B           -1574.803mil   -393.701mil  -1574.803mil   -393.701mil  -1574.803mil   -363.189mil  T        360.00 2700K          
LED26_L1   LM301B           -1574.803mil   3543.307mil  -1574.803mil   3543.307mil  -1574.803mil   3573.819mil  T        360.00 5000K          
LED26_L2   LM301B           -1574.803mil  -1181.102mil  -1574.803mil  -1181.102mil  -1574.803mil  -1150.591mil  T        360.00 5000K          
LED27_L1   LM301B           -1574.803mil   2755.906mil  -1574.803mil   2755.905mil  -1574.803mil   2786.417mil  T        360.00 2700K          
LED27_L2   LM301B           -1574.803mil  -1968.504mil  -1574.803mil  -1968.504mil  -1574.803mil  -1937.992mil  T        360.00 2700K          
LED28_L1   LM301B           -1574.803mil   1968.504mil  -1574.803mil   1968.504mil  -1574.803mil   1999.016mil  T        360.00 2700K          
LED28_L2   LM301B           -1574.803mil  -2755.905mil  -1574.803mil  -2755.905mil  -1574.803mil  -2725.394mil  T        360.00 2700K          
