Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED32_L_2  LM301B           -4566.929mil   -708.661mil  -4566.929mil   -708.661mil  -4566.929mil   -678.149mil  T        360.00 5000K          
LED33_L_2  LM301B           -4566.929mil  -1181.102mil  -4566.929mil  -1181.102mil  -4566.929mil  -1150.591mil  T        360.00 2700K          
LED34_L_2  LM301B           -4566.929mil  -1653.543mil  -4566.929mil  -1653.543mil  -4566.929mil  -1623.031mil  T        360.00 2700K          
LED35_L_2  LM301B           -4566.929mil  -2125.984mil  -4566.929mil  -2125.984mil  -4566.929mil  -2095.472mil  T        360.00 5000K          
LED36_L_2  LM301B           -4566.929mil  -2598.425mil  -4566.929mil  -2598.425mil  -4566.929mil  -2567.913mil  T        360.00 2700K          
LED1_L_3   LM301B             629.921mil  -2598.425mil    629.921mil  -2598.425mil    629.921mil  -2628.937mil  T        180.00 2700K          
LED2_L_3   LM301B             629.921mil  -2125.984mil    629.921mil  -2125.984mil    629.921mil  -2156.496mil  T        180.00 5000K          
LED3_L_3   LM301B             629.921mil  -1653.543mil    629.921mil  -1653.543mil    629.921mil  -1684.055mil  T        180.00 2700K          
LED4_L_3   LM301B             629.921mil  -1181.102mil    629.921mil  -1181.102mil    629.921mil  -1211.614mil  T        180.00 2700K          
LED5_L_3   LM301B             629.921mil   -708.662mil    629.921mil   -708.661mil    629.921mil   -739.173mil  T        180.00 5000K          
LED6_L_3   LM301B             629.921mil   -236.221mil    629.921mil    -236.22mil    629.921mil   -266.732mil  T        180.00 2700K          
LED7_L_3   LM301B            1417.323mil  -2598.425mil   1417.323mil  -2598.425mil   1417.323mil  -2628.937mil  T        180.00 2700K          
LED8_L_3   LM301B            1417.323mil  -2125.984mil   1417.323mil  -2125.984mil   1417.323mil  -2156.496mil  T        180.00 5000K          
LED9_L_3   LM301B            1417.323mil  -1653.543mil   1417.323mil  -1653.543mil   1417.323mil  -1684.055mil  T        180.00 2700K          
LED10_L_3  LM301B            1417.323mil  -1181.102mil   1417.323mil  -1181.102mil   1417.323mil  -1211.614mil  T        180.00 2700K          
LED11_L_3  LM301B            1417.323mil   -708.662mil   1417.323mil   -708.661mil   1417.323mil   -739.173mil  T        180.00 5000K          
LED12_L_3  LM301B            1417.323mil   -236.221mil   1417.323mil    -236.22mil   1417.323mil   -266.732mil  T        180.00 2700K          
LED13_L_3  LM301B            2204.724mil  -2598.425mil   2204.724mil  -2598.425mil   2204.724mil  -2628.937mil  T        180.00 2700K          
LED14_L_3  LM301B            2204.724mil  -2125.984mil   2204.724mil  -2125.984mil   2204.724mil  -2156.496mil  T        180.00 5000K          
